asd2$Feature_ID
X631
X761
X683
X865
X657
X735
X787
X501
X553
X813
X709
X839
X449
X272
X605
X1000
X252
X117
X1262
X1172
X1257
X527
X491
X495
X475
X1167
X106
X486
X1252
X490
X237
X1165
X18
X216
X998
X797
X481
X459
X276
X1162
X279
X1005
X128
X1170
X1255
X325
X333
X254
X267
X1008
X253
X1265
X1254
X139
X611
X1335
X994
X1260
X271
X238
X485
X1157
X51
X616
X621
X1259
X1330
X150
X510
X398
X229
X397
X1152
X999
X410
X821
X388
X299
X399
X1355
X717
X409
X342
X387
X411
X239
X1340
X511
X317
X1250
X389
X73
X1264
X273
X1350
X408
X563
X1245
X1127
X1150
X298
X420
X819
X991
X1122
X396
X1232
X321
X1227
X973
X1164
X386
X1175
X875
X793
X400
X507
X1240
X512
X429
X274
X794
X849
X1345
X287
X1117
X412
X282
X1222
X407
X424
X516
X719
X1155
X872
X517
X1166
X395
X617
X882
X7
X286
X846
X1124
X428
X390
X560
X534
X521
X1370
X995
X1382
X406
X638
X489
X620
X385
X461
X370
X1129
X722
X871
X1224
X1011
X373
X1384
X1377
X1375
X1147
X931
X1187
X1374
X952
X993
X291
X1225
X716
X1229
X352
X456
X1001
X1119
X1169
X802
X353
X979
X72
X768
X807
X384
X356
X845
X303
X1015
X355
X877
X40
X241
X401
X354
X667
X625
X358
X1256
X1365
X256
X430
X820
X622
X351
X1171
X339
X1176
X1120
X357
X372
X1372
X234
X289
X249
X205
X1174
X752
X350
X427
X1190
X798
X508
X727
X992
X304
X1369
X1379
X559
X413
X1261
X422
X856
X1154
X466
X1182
X382
X1380
X349
X74
X664
X1331
X421
X803
X222
X348
X71
X689
X226
X1021
X1006
X383
X1279
X1125
X799
X1177
X1371
X1149
X1234
X1132
X690
X1142
X183
X1156
X804
X432
X859
X747
X1042
X259
X1137
X937
X435
X1036
X1274
X39
X258
X1151
X228
X194
X715
X1266
X70
X417
X391
X851
X538
X172
X958
X1135
X464
X438
X972
X1368
X1346
X1409
X855
X850
X543
X880
X533
X854
X755
X949
X402
X721
X824
X1285
X455
X1084
X38
X1159
X116
X771
X987
X1163
X1179
X910
X29
X75
X1356
X885
X663
X1002
X985
X1063
X537
X1366
X876
X1139
X1251
X288
X970
X641
X1144
X1226
X1363
X778
X1414
X724
X823
X1007
X1230
X1315
X1057
X637
X1307
X171
X1214
X311
X951
X750
X907
X1378
X767
X418
X1269
X1010
X781
X215
X247
X1353
X1412
X773
X829
X1420
X1360
X1241
X776
X1148
X1168
X648
X1161
X37
X1223
X1383
X651
X1253
X1373
X419
X930
X1134
X1425
X916
X374
X69
X264
X928
X1404
X297
X1430
X1228
X119
X646
X17
X1351
X729
X977
X149
X1277
X1376
X1364
X568
X278
X1429
X414
X403
X425
X1027
X881
X643
X1317
X1407
X1341
X984
X1189
X726
X909
X1322
X745
X1184
X1014
X62
X1267
X564
X307
X1078
X1239
X1153
X518
X1212
X1348
X1130
X1035
X1219
X1158
X1231
X375
X377
X115
X257
X1217
X1319
X469
X700
X742
X997
X41
X1244
X392
X513
X573
X138
X312
X1012
X693
X889
X1258
X1402
X1128
X1048
X369
X118
X1336
X268
X1178
X1294
X460
X1292
X306
X95
X36
X366
X1181
X81
X277
X362
X77
X542
X316
X431
X1417
X886
X20
X1004
X1272
X262
X1062
X1173
X1310
X1324
X695
X266
X1071
X964
X1013
X547
X364
X895
X361
X978
X1209
X915
X359
X193
X1191
X1304
X976
X251
X569
X935
X426
X983
X363
X974
X83
X367
X1186
X368
X1358
X1029
X981
X669
X1056
X1207
X741
X945
X404
X341
X360
X121
X174
X42
X1123
X378
X1089
X1076
X365
X1083
X1361
X60
X63
X1233
X1055
X1026
X153
X1020
X337
X292
X966
X1068
X1312
X151
X674
X1302
X941
X1422
X1206
X1408
X120
X1050
X1075
X330
X109
X281
X1381
X1389
X332
X1246
X1183
X227
X329
X405
X888
X1040
X1099
X173
X246
X104
X942
X1397
X21
X43
X127
X936
X944
X1019
X94
X986
X1108
X1033
X539
X1028
X1326
X113
X1411
X1049
X263
X1069
X1273
X1141
X1359
X1061
X82
X1058
X1047
X1082
X1428
X1413
X465
X957
X1424
X1427
X242
X965
X182
X1070
X1018
X336
X954
X956
X1054
X1327
X1339
X963
X1041
X1202
X1263
X989
X933
X1236
X1347
X1299
X1037
X335
X1403
X1077
X1031
X318
X975
X393
X990
X1268
X1314
X544
X1426
X1060
X1249
X668
X1419
X1025
X394
X962
X924
X1242
X22
X181
X1357
X902
X1098
X894
